name,stat,syst
treatment,ADD,ADD
type,UNCORR,CORR
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,0.125,0.005
10,0.23,0.009
11,,
12,,
13,,
14,,
15,0.11,0.005
16,0.127,0.008
17,0.163,0.009
18,0.309,0.013
19,,
20,,
21,,
22,,
23,0.123,0.006
24,0.1,0.008
25,0.096,0.01
26,0.137,0.016
27,0.176,0.02
28,0.221,0.021
29,,
30,,
31,0.17,0.006
32,0.114,0.007
33,0.071,0.011
34,0.076,0.018
35,0.086,0.022
36,0.081,0.021
37,0.082,0.018
38,,
39,0.143,0.007
40,0.078,0.012
41,0.064,0.02
42,0.053,0.023
43,0.047,0.021
44,0.042,0.017
45,0.034,0.01
46,0.095,0.014
47,0.071,0.022
48,0.057,0.025
49,0.043,0.021
50,0.029,0.016
51,0.022,0.009
52,0.218,0.016
53,0.09,0.024
54,0.066,0.026
55,0.047,0.021
56,0.033,0.016
57,0.02,0.009
